customer_id,Y
258868,1
318369,0
320906,0
412393,0
290854,0
438743,1
152741,0
268067,1
420352,1
425469,1
235763,1
160857,1
277317,0
347292,0
283955,0
211869,0
233097,1
163646,1
246895,0
319547,0
265548,0
437304,0
410395,1
137051,1
216976,0
388717,0
324279,0
279378,1
410443,1
217740,1
413984,1
283041,0
376679,1
221421,1
338514,1
419060,0
498868,0
163136,1
195033,1
238978,1
440380,0
266965,1
348029,1
301189,1
418156,1
399635,0
466335,1
429007,0
167049,1
449270,1
453573,1
362304,0
263485,0
395330,1
332368,1
439534,0
432688,1
217556,0
248785,0
154123,1
262588,1
476796,0
144870,1
170571,1
175127,1
125296,0
158419,1
471390,0
259590,1
131758,0
222635,0
248292,1
141934,1
275688,0
242982,0
412061,0
210276,0
291303,0
173414,0
420268,0
213365,0
143088,0
422707,0
165611,0
180038,0
409465,1
131749,1
177261,0
389311,0
318724,1
391985,0
336032,0
224678,0
472211,1
325963,1
347087,0
361135,0
226990,0
191602,0
425254,0
263852,1
292760,1
426078,1
412710,1
215505,1
337050,0
378567,1
397681,1
481661,1
372021,1
275420,0
468100,0
194248,0
344344,1
381465,1
156520,1
136015,1
427014,1
487884,1
251803,0
302723,0
155540,0
260767,0
227190,1
465677,1
149100,1
287450,1
147089,0
468428,1
467563,1
345093,1
430839,0
387978,1
379047,1
393331,0
308136,0
249982,1
364486,1
255825,0
189276,0
218761,0
251345,1
368640,1
167594,0
141104,1
202596,0
359556,1
356816,1
458039,1
251936,0
278254,0
221853,1
364071,0
204756,1
218114,1
343235,1
376257,1
142144,1
341186,0
468033,0
193469,1
238030,1
395901,0
352973,1
484064,0
311750,1
220930,0
381767,1
462131,1
363126,0
401792,1
144808,0
376604,1
218709,1
359585,0
348864,1
215669,0
326283,0
489725,1
166217,1
328363,1
227335,1
298032,1
485889,0
175083,0
386782,1
311277,0
346070,1
202072,1
306702,0
309466,0
242072,1
137562,1
307306,1
485526,1
301755,1
418680,0
469924,1
427613,0
235994,1
398462,0
233929,0
149211,1
288680,1
405509,0
145565,1
233094,0
415640,0
304922,1
392723,1
455748,0
337629,1
287390,1
457580,1
414486,1
370279,1
302423,0
304836,1
323689,1
346926,1
365113,1
188323,0
226841,1
472958,1
195511,0
127463,0
466397,1
386128,0
257626,1
450626,0
324378,0
252772,1
437399,0
303623,1
323723,0
287895,0
282515,1
455359,1
393740,1
410572,1
433953,1
407085,0
256717,0
243730,1
311764,0
388522,0
281630,0
398039,1
406142,1
261601,0
295281,0
157451,0
424577,1
287989,1
418956,1
440964,1
157557,1
421681,0
386646,1
410343,1
366806,1
457169,1
462925,0
414687,0
495677,1
415343,0
340261,0
249387,0
373483,0
207668,0
258124,1
349463,1
352304,1
